family,mode,case_count,pass_rate,case_spread_std,mean_revisions
bounded_non_degradation,direct_answer,5,1.0,0.0,0.0
bounded_non_degradation,mindstate_only,5,1.0,0.0,0.0
bounded_non_degradation,mindstate_mirror,5,1.0,0.0,0.8
bounded_non_degradation,mindstate_mirror_local_memory,5,1.0,0.0,0.8
bounded_non_degradation,mindstate_mirror_dual_memory,5,1.0,0.0,0.8
condition_drop,direct_answer,5,0.0,0.0,0.0
condition_drop,mindstate_only,5,1.0,0.0,0.0
condition_drop,mindstate_mirror,5,1.0,0.0,1.6
condition_drop,mindstate_mirror_local_memory,5,1.0,0.0,1.6
condition_drop,mindstate_mirror_dual_memory,5,1.0,0.0,1.6
correction_reuse,direct_answer,5,0.0,0.0,0.0
correction_reuse,mindstate_only,5,0.0,0.0,0.0
correction_reuse,mindstate_mirror,5,0.0,0.0,0.8
correction_reuse,mindstate_mirror_local_memory,5,0.0,0.0,0.8
correction_reuse,mindstate_mirror_dual_memory,5,0.0,0.0,0.8
evidence_mismatch,direct_answer,5,0.0,0.0,0.0
evidence_mismatch,mindstate_only,5,0.0,0.0,0.0
evidence_mismatch,mindstate_mirror,5,0.8,0.4,2.6
evidence_mismatch,mindstate_mirror_local_memory,5,0.8,0.4,2.6
evidence_mismatch,mindstate_mirror_dual_memory,5,0.8,0.4,2.6
project_local_precedence,direct_answer,5,0.0,0.0,0.0
project_local_precedence,mindstate_only,5,0.0,0.0,0.0
project_local_precedence,mindstate_mirror,5,0.0,0.0,2.6
project_local_precedence,mindstate_mirror_local_memory,5,0.8,0.4,2.6
project_local_precedence,mindstate_mirror_dual_memory,5,0.8,0.4,3.0
unsupported_certainty,direct_answer,5,0.0,0.0,0.0
unsupported_certainty,mindstate_only,5,0.0,0.0,0.0
unsupported_certainty,mindstate_mirror,5,0.6,0.4899,2.6
unsupported_certainty,mindstate_mirror_local_memory,5,0.6,0.4899,2.6
unsupported_certainty,mindstate_mirror_dual_memory,5,0.6,0.4899,2.6
