case_id,family,mode,pass,correction_retained,shared_memory_pollution_risk,revision_count
C-Seq01-S1,concept_correction_carryover,direct_answer,True,False,0.0,0
C-Seq01-S2,concept_correction_carryover,direct_answer,False,False,0.0,0
C-Seq01-S1,concept_correction_carryover,mindstate_mirror_dual_memory,True,True,0.0,2
C-Seq01-S2,concept_correction_carryover,mindstate_mirror_dual_memory,False,True,0.0,2
C-Seq01-S1,concept_correction_carryover,mindstate_mirror_local_memory,True,False,0.0,0
C-Seq01-S2,concept_correction_carryover,mindstate_mirror_local_memory,False,False,0.0,0
C-Seq02-S1,concept_correction_carryover,direct_answer,True,False,0.0,0
C-Seq02-S2,concept_correction_carryover,direct_answer,False,False,0.0,0
C-Seq02-S1,concept_correction_carryover,mindstate_mirror_dual_memory,True,True,0.0,2
C-Seq02-S2,concept_correction_carryover,mindstate_mirror_dual_memory,False,True,0.0,2
C-Seq02-S1,concept_correction_carryover,mindstate_mirror_local_memory,True,False,0.0,0
C-Seq02-S2,concept_correction_carryover,mindstate_mirror_local_memory,False,False,0.0,0
C-Seq03-S1,condition_boundary_correction,direct_answer,True,False,0.0,0
C-Seq03-S2,condition_boundary_correction,direct_answer,False,False,0.0,0
C-Seq03-S1,condition_boundary_correction,mindstate_mirror_dual_memory,True,False,0.0,4
C-Seq03-S2,condition_boundary_correction,mindstate_mirror_dual_memory,True,True,0.0,4
C-Seq03-S1,condition_boundary_correction,mindstate_mirror_local_memory,True,False,0.0,4
C-Seq03-S2,condition_boundary_correction,mindstate_mirror_local_memory,True,True,0.0,4
C-Seq04-S1,condition_boundary_correction,direct_answer,True,False,0.0,0
C-Seq04-S2,condition_boundary_correction,direct_answer,False,False,0.0,0
C-Seq04-S1,condition_boundary_correction,mindstate_mirror_dual_memory,True,False,0.0,4
C-Seq04-S2,condition_boundary_correction,mindstate_mirror_dual_memory,True,True,0.0,4
C-Seq04-S1,condition_boundary_correction,mindstate_mirror_local_memory,True,False,0.0,4
C-Seq04-S2,condition_boundary_correction,mindstate_mirror_local_memory,True,True,0.0,4
C-Seq05-S1,unit_correction,direct_answer,True,False,0.0,0
C-Seq05-S2,unit_correction,direct_answer,False,False,0.0,0
C-Seq05-S1,unit_correction,mindstate_mirror_dual_memory,True,False,0.0,0
C-Seq05-S2,unit_correction,mindstate_mirror_dual_memory,False,False,0.0,0
C-Seq05-S1,unit_correction,mindstate_mirror_local_memory,True,False,0.0,0
C-Seq05-S2,unit_correction,mindstate_mirror_local_memory,False,False,0.0,0
C-Seq06-S1,unit_correction,direct_answer,True,False,0.0,0
C-Seq06-S2,unit_correction,direct_answer,False,False,0.0,0
C-Seq06-S1,unit_correction,mindstate_mirror_dual_memory,True,False,0.0,0
C-Seq06-S2,unit_correction,mindstate_mirror_dual_memory,False,False,0.0,0
C-Seq06-S1,unit_correction,mindstate_mirror_local_memory,True,False,0.0,0
C-Seq06-S2,unit_correction,mindstate_mirror_local_memory,False,False,0.0,0
C-Seq07-S1,abstention_correction,direct_answer,True,False,0.0,0
C-Seq07-S2,abstention_correction,direct_answer,False,False,0.0,0
C-Seq07-S1,abstention_correction,mindstate_mirror_dual_memory,True,False,0.0,1
C-Seq07-S2,abstention_correction,mindstate_mirror_dual_memory,False,False,0.0,0
C-Seq07-S1,abstention_correction,mindstate_mirror_local_memory,True,False,0.0,1
C-Seq07-S2,abstention_correction,mindstate_mirror_local_memory,False,False,0.0,0
C-Seq08-S1,abstention_correction,direct_answer,True,False,0.0,0
C-Seq08-S2,abstention_correction,direct_answer,False,False,0.0,0
C-Seq08-S1,abstention_correction,mindstate_mirror_dual_memory,True,False,0.0,1
C-Seq08-S2,abstention_correction,mindstate_mirror_dual_memory,False,False,0.0,0
C-Seq08-S1,abstention_correction,mindstate_mirror_local_memory,True,False,0.0,1
C-Seq08-S2,abstention_correction,mindstate_mirror_local_memory,False,False,0.0,0
C-Seq09-S1,project_vs_shared_conflict,direct_answer,True,False,0.0,0
C-Seq09-S2,project_vs_shared_conflict,direct_answer,False,False,0.0,0
C-Seq09-S1,project_vs_shared_conflict,mindstate_mirror_dual_memory,True,True,0.0,4
C-Seq09-S2,project_vs_shared_conflict,mindstate_mirror_dual_memory,True,True,0.0,4
C-Seq09-S1,project_vs_shared_conflict,mindstate_mirror_local_memory,True,True,0.0,4
C-Seq09-S2,project_vs_shared_conflict,mindstate_mirror_local_memory,True,True,0.0,4
C-Seq10-S1,project_vs_shared_conflict,direct_answer,True,False,0.0,0
C-Seq10-S2,project_vs_shared_conflict,direct_answer,False,False,0.0,0
C-Seq10-S1,project_vs_shared_conflict,mindstate_mirror_dual_memory,True,True,0.0,4
C-Seq10-S2,project_vs_shared_conflict,mindstate_mirror_dual_memory,True,True,0.0,4
C-Seq10-S1,project_vs_shared_conflict,mindstate_mirror_local_memory,True,True,0.0,4
C-Seq10-S2,project_vs_shared_conflict,mindstate_mirror_local_memory,True,True,0.0,4
